"CustomerID","CompanyName","ContactName","ContactTitle","Address","City","Region","PostalCode","Country","Phone","Fax"
AG377,"Williams, Hanson and BushTechnology Startup",Anne Gray,Procurement Manager,"40709 Wood Loaf
East Kimberlyton, AR 13007",Lake Raymondberg,West Virginia,"85596",United States,"701.231.1255x9219",(323)210-4031
AI186,Robinson GroupHome Improvement Store,Danielle Bennett,Property Manager,"USS Henry
FPO AA 19576",Glassland,Indiana,"62924",United States,"597.620.9592x6144","836-717-2634"
AY360,Thompson LLCSecurity Service Provider,Jason Mitchell,Purchasing Director,"USNS Orr
FPO AA 09718",Josefort,Arizona,"43257",United States,"990-227-5490x40999",(929)734-5820x992
BE531,Richardson-ThomasE-commerce Company,Michael Young,Office Manager,"081 Huff Row Apt. 442
Port Johnville, TX 73884",Thomasview,Indiana,"35397",United States,"520.410.0518x9129","426-410-7125x7791"
BN567,Garcia-RichardHome Improvement Store,Kelly Richard,Store Manager,"56569 Kenneth Plains Apt. 310
East Molly, MT 84069",North Jeremy,Rhode Island,"65178",United States,(499)790-2315x9846,
CB552,Hendricks IncOnline Marketplace Seller,Kimberly Gallegos,Operations Manager,"255 Adams Skyway Suite 847
Mariaborough, PW 11530",Lake Ashley,Alaska,"41234",United States,"246-245-3498x26155","559.703.5139"
CK028,"Hoffman, Baker and BarnesSecurity Service Provider",Linda Lester,Purchasing Director,"169 White Plains
Clarkbury, MD 51668",West Jamesmouth,Delaware,"27607",United States,(204)348-7450x440,"282-609-7335x98401"
CM221,Rush PLCReal Estate Company,Colton Bailey,Store Manager,"00623 Sanchez Ford Suite 148
Sherritown, OK 40096",North Darlene,New York,"84711",United States,(742)915-3194,"6359081829"
DR567,"Howe, Sandoval and MartinezHome Improvement Store",Teresa Cox,Operations Manager,"USCGC Baker
FPO AP 77725",Kingmouth,Arkansas,"91594",United States,+1-776-432-8508x8668,+1-623-734-6851x025
DV187,Garcia-MorganTechnology Startup,James Lopez,Facilities Manager,"921 Black Brook Apt. 600
Hernandezchester, PW 06130",Patrickville,Virginia,"18781",United States,"5904186189",+1-368-395-4329x8927
