OrderID,OrderDate,CustomerID,CustomerName,EmployeeID,EmployeeName,ProductID,ProductName,CategoryName,SupplierName,UnitPrice,Quantity,Discount,ExtendedPrice
427,2024-06-11 13:23:16,WT163,Baker IncOnline Marketplace Seller,6,Robert Taylor,3,Arlo Smart Sensor Indoor,Smart Sensor,Arlo,3456.3,20,0.15,58757.1
427,2024-06-11 13:23:16,WT163,Baker IncOnline Marketplace Seller,6,Robert Taylor,6,GE Appliances Smart Plug Essential,Smart Plug,GE Appliances,248.02,17,0.05,4005.52
427,2024-06-11 13:23:16,WT163,Baker IncOnline Marketplace Seller,6,Robert Taylor,28,Samsung SmartThings Smart Lighting Standard,Smart Lighting,Samsung SmartThings,604.27,15,0.15,7704.44
427,2024-06-11 13:23:16,WT163,Baker IncOnline Marketplace Seller,6,Robert Taylor,97,Eufy Smart Thermostat Ultra,Smart Thermostat,Eufy,1646.57,1,0.2,1317.26
33,2024-06-11 22:06:15,UA828,Castillo PLCHome Improvement Store,20,Nicholas Stephens,14,LG Electronics Smart Lock Indoor,Smart Lock,LG Electronics,2279.14,12,0.05,25982.2
33,2024-06-11 22:06:15,UA828,Castillo PLCHome Improvement Store,20,Nicholas Stephens,40,TP-Link Kasa Smart Speaker Pro,Smart Speaker,TP-Link Kasa,3865.79,16,0.1,55667.38
602,2024-06-12 15:54:25,JO498,Davis-WoodwardOnline Marketplace Seller,17,Kimberly Austin,41,Wyze Home Hub Outdoor,Home Hub,Wyze,3961.16,7,0.05,26341.71
602,2024-06-12 15:54:25,JO498,Davis-WoodwardOnline Marketplace Seller,17,Kimberly Austin,81,Amazon Devices Air Purifier Outdoor,Air Purifier,Amazon Devices,1979.86,10,0.15,16828.81
360,2024-06-12 20:56:48,QC191,Mccormick-LevyReal Estate Company,11,Jose Nelson,1,Philips Hue Smart Lock Max,Smart Lock,Philips Hue,5941.96,19,0.1,101607.52
360,2024-06-12 20:56:48,QC191,Mccormick-LevyReal Estate Company,11,Jose Nelson,14,LG Electronics Smart Lock Indoor,Smart Lock,LG Electronics,2240.55,4,0.15,7617.87
360,2024-06-12 20:56:48,QC191,Mccormick-LevyReal Estate Company,11,Jose Nelson,34,Arlo Smart TV Plus,Smart TV,Arlo,2763.92,11,0.2,24322.5
360,2024-06-12 20:56:48,QC191,Mccormick-LevyReal Estate Company,11,Jose Nelson,73,Arlo Smart Camera Ultra,Smart Camera,Arlo,4397.07,13,0.2,45729.53
360,2024-06-12 20:56:48,QC191,Mccormick-LevyReal Estate Company,11,Jose Nelson,84,Eufy Smart Doorbell Plus,Smart Doorbell,Eufy,4851.76,3,0.2,11644.22
242,2024-06-14 01:34:57,RN037,Stewart-DavisRetail Company,8,Amanda Black,28,Samsung SmartThings Smart Lighting Standard,Smart Lighting,Samsung SmartThings,609.66,5,0.2,2438.64
242,2024-06-14 01:34:57,RN037,Stewart-DavisRetail Company,8,Amanda Black,52,Wyze Smart Display Ultra,Smart Display,Wyze,9499.37,16,0.2,121591.94
242,2024-06-14 01:34:57,RN037,Stewart-DavisRetail Company,8,Amanda Black,61,Ecobee Smart Display Pro,Smart Display,Ecobee,8413.75,6,0.0,50482.5
242,2024-06-14 01:34:57,RN037,Stewart-DavisRetail Company,8,Amanda Black,84,Eufy Smart Doorbell Plus,Smart Doorbell,Eufy,4721.71,14,0.05,62798.74
242,2024-06-14 01:34:57,RN037,Stewart-DavisRetail Company,8,Amanda Black,88,Samsung SmartThings Smart TV Ultra,Smart TV,Samsung SmartThings,5650.05,9,0.05,48307.93
522,2024-06-15 03:17:54,CK028,"Hoffman, Baker and BarnesSecurity Service Provider",7,Tiffany Williams,6,GE Appliances Smart Plug Essential,Smart Plug,GE Appliances,258.35,17,0.2,3513.56
522,2024-06-15 03:17:54,CK028,"Hoffman, Baker and BarnesSecurity Service Provider",7,Tiffany Williams,77,Ring Smart Speaker Plus,Smart Speaker,Ring,217.56,11,0.15,2034.19
978,2024-06-15 07:03:38,UA828,Castillo PLCHome Improvement Store,15,Nicholas Daniel,28,Samsung SmartThings Smart Lighting Standard,Smart Lighting,Samsung SmartThings,613.91,14,0.0,8594.74
978,2024-06-15 07:03:38,UA828,Castillo PLCHome Improvement Store,15,Nicholas Daniel,79,Ring Smart Camera Premium,Smart Camera,Ring,8869.5,4,0.15,30156.3
519,2024-06-16 12:04:44,AY360,Thompson LLCSecurity Service Provider,12,Zachary Owens,24,Ring Robot Vacuum Standard,Robot Vacuum,Ring,7387.1,18,0.15,113022.63
519,2024-06-16 12:04:44,AY360,Thompson LLCSecurity Service Provider,12,Zachary Owens,79,Ring Smart Camera Premium,Smart Camera,Ring,9068.1,2,0.15,15415.77
519,2024-06-16 12:04:44,AY360,Thompson LLCSecurity Service Provider,12,Zachary Owens,85,Wyze Smart Thermostat Max,Smart Thermostat,Wyze,10108.78,17,0.1,154664.33
519,2024-06-16 12:04:44,AY360,Thompson LLCSecurity Service Provider,12,Zachary Owens,89,Ring Home Hub Pro,Home Hub,Ring,4378.15,18,0.0,78806.7
519,2024-06-16 12:04:44,AY360,Thompson LLCSecurity Service Provider,12,Zachary Owens,96,Amazon Devices Smart Lighting Indoor,Smart Lighting,Amazon Devices,1249.92,19,0.15,20186.21
96,2024-06-16 15:02:41,RN037,Stewart-DavisRetail Company,12,Zachary Owens,1,Philips Hue Smart Lock Max,Smart Lock,Philips Hue,5642.17,19,0.15,91121.04
96,2024-06-16 15:02:41,RN037,Stewart-DavisRetail Company,12,Zachary Owens,37,Google Nest Smart Lighting Mini,Smart Lighting,Google Nest,3041.59,13,0.0,39540.67
96,2024-06-16 15:02:41,RN037,Stewart-DavisRetail Company,12,Zachary Owens,54,Ecobee Home Hub Outdoor,Home Hub,Ecobee,5092.14,15,0.15,64924.78
96,2024-06-16 15:02:41,RN037,Stewart-DavisRetail Company,12,Zachary Owens,64,Google Nest Smart Lock Pro,Smart Lock,Google Nest,914.41,4,0.15,3108.99
415,2024-06-17 13:30:44,HB552,"Meyer, Reese and McdanielSecurity Service Provider",11,Jose Nelson,30,GE Appliances Smart Lock Standard,Smart Lock,GE Appliances,8324.6,9,0.0,74921.4
415,2024-06-17 13:30:44,HB552,"Meyer, Reese and McdanielSecurity Service Provider",11,Jose Nelson,46,Ring Smart Lock Ultra,Smart Lock,Ring,6309.55,14,0.1,79500.33
415,2024-06-17 13:30:44,HB552,"Meyer, Reese and McdanielSecurity Service Provider",11,Jose Nelson,80,Ring Streaming Device Mini,Streaming Device,Ring,8487.49,13,0.2,88269.9
415,2024-06-17 13:30:44,HB552,"Meyer, Reese and McdanielSecurity Service Provider",11,Jose Nelson,89,Ring Home Hub Pro,Home Hub,Ring,4067.78,9,0.2,29288.02
949,2024-06-17 19:47:59,AY360,Thompson LLCSecurity Service Provider,4,Tyler Harrison,91,Ring Smart Lighting Premium,Smart Lighting,Ring,6352.72,4,0.0,25410.88
707,2024-06-17 20:46:10,TJ349,"Farmer, Porter and DavisHome Improvement Store",4,Tyler Harrison,89,Ring Home Hub Pro,Home Hub,Ring,4272.75,15,0.2,51273.0
802,2024-06-18 05:20:43,ZY562,Fox-GreenProperty Management Company,8,Amanda Black,22,Google Nest Smart TV Pro,Smart TV,Google Nest,4204.64,17,0.05,67904.94
802,2024-06-18 05:20:43,ZY562,Fox-GreenProperty Management Company,8,Amanda Black,42,Google Nest Smart Doorbell Essential,Smart Doorbell,Google Nest,9728.12,17,0.1,148840.24
802,2024-06-18 05:20:43,ZY562,Fox-GreenProperty Management Company,8,Amanda Black,69,Honeywell Home Air Purifier Indoor,Air Purifier,Honeywell Home,1941.24,17,0.2,26400.86
934,2024-06-19 06:48:03,UV185,Travis LLCAppliance Retailer,12,Zachary Owens,27,Belkin Wemo Smart Speaker Outdoor,Smart Speaker,Belkin Wemo,9805.45,20,0.0,196109.0
934,2024-06-19 06:48:03,UV185,Travis LLCAppliance Retailer,12,Zachary Owens,40,TP-Link Kasa Smart Speaker Pro,Smart Speaker,TP-Link Kasa,3723.91,1,0.0,3723.91
934,2024-06-19 06:48:03,UV185,Travis LLCAppliance Retailer,12,Zachary Owens,51,Google Nest Smart Thermostat Outdoor,Smart Thermostat,Google Nest,1700.7,15,0.15,21683.92
934,2024-06-19 06:48:03,UV185,Travis LLCAppliance Retailer,12,Zachary Owens,52,Wyze Smart Display Ultra,Smart Display,Wyze,9106.41,8,0.1,65566.15
614,2024-06-19 07:33:34,FR076,Brown-AlvarezConsumer Electronics Store,3,Meagan King,8,Arlo Smart Display Max,Smart Display,Arlo,3276.38,19,0.1,56026.1
614,2024-06-19 07:33:34,FR076,Brown-AlvarezConsumer Electronics Store,3,Meagan King,70,Honeywell Home Smart Plug Essential,Smart Plug,Honeywell Home,3698.14,6,0.0,22188.84
614,2024-06-19 07:33:34,FR076,Brown-AlvarezConsumer Electronics Store,3,Meagan King,72,TP-Link Kasa Security System Standard,Security System,TP-Link Kasa,10351.18,15,0.15,131977.54
614,2024-06-19 07:33:34,FR076,Brown-AlvarezConsumer Electronics Store,3,Meagan King,77,Ring Smart Speaker Plus,Smart Speaker,Ring,210.98,2,0.05,400.86
614,2024-06-19 07:33:34,FR076,Brown-AlvarezConsumer Electronics Store,3,Meagan King,85,Wyze Smart Thermostat Max,Smart Thermostat,Wyze,9575.83,16,0.0,153213.28
336,2024-06-19 14:39:09,NB019,Gray IncSecurity Service Provider,18,Michael Watson,30,GE Appliances Smart Lock Standard,Smart Lock,GE Appliances,8224.58,20,0.0,164491.6
336,2024-06-19 14:39:09,NB019,Gray IncSecurity Service Provider,18,Michael Watson,39,Eufy Smart Plug Standard,Smart Plug,Eufy,646.71,7,0.05,4300.62
336,2024-06-19 14:39:09,NB019,Gray IncSecurity Service Provider,18,Michael Watson,51,Google Nest Smart Thermostat Outdoor,Smart Thermostat,Google Nest,1680.72,7,0.1,10588.54
336,2024-06-19 14:39:09,NB019,Gray IncSecurity Service Provider,18,Michael Watson,54,Ecobee Home Hub Outdoor,Home Hub,Ecobee,4858.69,3,0.0,14576.07
176,2024-06-19 23:55:42,IU348,Brooks and SonsProperty Management Company,8,Amanda Black,78,Ecobee Smart Camera Pro,Smart Camera,Ecobee,5369.04,2,0.2,8590.46
92,2024-06-21 02:20:04,OE837,Smith GroupOnline Marketplace Seller,13,Kevin Chavez,38,GE Appliances Smart Display Ultra,Smart Display,GE Appliances,9126.23,2,0.15,15514.59
92,2024-06-21 02:20:04,OE837,Smith GroupOnline Marketplace Seller,13,Kevin Chavez,46,Ring Smart Lock Ultra,Smart Lock,Ring,5979.25,8,0.1,43050.6
92,2024-06-21 02:20:04,OE837,Smith GroupOnline Marketplace Seller,13,Kevin Chavez,89,Ring Home Hub Pro,Home Hub,Ring,4062.61,7,0.15,24172.53
754,2024-06-22 05:05:43,UC855,Smith LLCInterior Design Studio,14,Ryan Lowery,62,Belkin Wemo Smart TV Pro,Smart TV,Belkin Wemo,4983.89,3,0.15,12708.92
974,2024-06-22 15:36:11,WQ694,Adkins-ChenAppliance Retailer,17,Kimberly Austin,7,Apple Home Smart Doorbell Outdoor,Smart Doorbell,Apple Home,6639.22,3,0.05,18921.78
974,2024-06-22 15:36:11,WQ694,Adkins-ChenAppliance Retailer,17,Kimberly Austin,41,Wyze Home Hub Outdoor,Home Hub,Wyze,3780.4,10,0.1,34023.6
974,2024-06-22 15:36:11,WQ694,Adkins-ChenAppliance Retailer,17,Kimberly Austin,67,Arlo Smart Doorbell Plus,Smart Doorbell,Arlo,4900.18,10,0.1,44101.62
974,2024-06-22 15:36:11,WQ694,Adkins-ChenAppliance Retailer,17,Kimberly Austin,68,Arlo Smart Speaker Premium,Smart Speaker,Arlo,5436.01,11,0.2,47836.89
974,2024-06-22 15:36:11,WQ694,Adkins-ChenAppliance Retailer,17,Kimberly Austin,98,Ring Smart Plug Indoor,Smart Plug,Ring,1681.16,10,0.05,15971.02
320,2024-06-23 15:49:44,TJ349,"Farmer, Porter and DavisHome Improvement Store",10,Kyle Green,40,TP-Link Kasa Smart Speaker Pro,Smart Speaker,TP-Link Kasa,3929.12,6,0.05,22395.98
320,2024-06-23 15:49:44,TJ349,"Farmer, Porter and DavisHome Improvement Store",10,Kyle Green,94,GE Appliances Robot Vacuum Standard,Robot Vacuum,GE Appliances,9509.66,7,0.2,53254.1
320,2024-06-23 15:49:44,TJ349,"Farmer, Porter and DavisHome Improvement Store",10,Kyle Green,98,Ring Smart Plug Indoor,Smart Plug,Ring,1632.71,10,0.1,14694.39
182,2024-06-26 18:51:53,XS276,James GroupSmall Business,20,Nicholas Stephens,37,Google Nest Smart Lighting Mini,Smart Lighting,Google Nest,2902.53,14,0.2,32508.34
182,2024-06-26 18:51:53,XS276,James GroupSmall Business,20,Nicholas Stephens,64,Google Nest Smart Lock Pro,Smart Lock,Google Nest,957.47,12,0.1,10340.68
182,2024-06-26 18:51:53,XS276,James GroupSmall Business,20,Nicholas Stephens,81,Amazon Devices Air Purifier Outdoor,Air Purifier,Amazon Devices,1993.14,7,0.0,13951.98
182,2024-06-26 18:51:53,XS276,James GroupSmall Business,20,Nicholas Stephens,85,Wyze Smart Thermostat Max,Smart Thermostat,Wyze,9879.79,2,0.1,17783.62
124,2024-06-26 19:08:47,GY227,Smith LLCSecurity Service Provider,4,Tyler Harrison,59,Ring Smart Plug Pro,Smart Plug,Ring,6980.24,20,0.2,111683.84
248,2024-06-27 03:31:23,ER267,"Hill, Gonzales and PerkinsOnline Marketplace Seller",5,Yvette Daniel,48,Samsung SmartThings Air Purifier Indoor,Air Purifier,Samsung SmartThings,7706.18,5,0.2,30824.72
248,2024-06-27 03:31:23,ER267,"Hill, Gonzales and PerkinsOnline Marketplace Seller",5,Yvette Daniel,79,Ring Smart Camera Premium,Smart Camera,Ring,8811.1,1,0.15,7489.43
248,2024-06-27 03:31:23,ER267,"Hill, Gonzales and PerkinsOnline Marketplace Seller",5,Yvette Daniel,94,GE Appliances Robot Vacuum Standard,Robot Vacuum,GE Appliances,9575.56,10,0.05,90967.82
226,2024-06-27 18:06:13,LP961,Cervantes-SpenceFacility Management Company,6,Robert Taylor,5,TP-Link Kasa Smart Lighting Mini,Smart Lighting,TP-Link Kasa,4451.77,12,0.2,42736.99
226,2024-06-27 18:06:13,LP961,Cervantes-SpenceFacility Management Company,6,Robert Taylor,52,Wyze Smart Display Ultra,Smart Display,Wyze,9176.17,7,0.1,57809.87
226,2024-06-27 18:06:13,LP961,Cervantes-SpenceFacility Management Company,6,Robert Taylor,61,Ecobee Smart Display Pro,Smart Display,Ecobee,8812.52,4,0.0,35250.08
226,2024-06-27 18:06:13,LP961,Cervantes-SpenceFacility Management Company,6,Robert Taylor,80,Ring Streaming Device Mini,Streaming Device,Ring,8508.43,18,0.05,145494.15
226,2024-06-27 18:06:13,LP961,Cervantes-SpenceFacility Management Company,6,Robert Taylor,85,Wyze Smart Thermostat Max,Smart Thermostat,Wyze,9913.12,8,0.2,63443.97
