orderId:ID(Order),OrderDate,RequiredDate,ShippedDate,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerName,LastName,FirstName,ShipperName,labels:LABEL
1,2025-06-10 09:07:33,2025-06-19 09:07:33,2025-06-13 09:07:33,155.76,Bennett-PerezHome Improvement Store,"0407 Stephen Center
New Lisa, TX 33936",South Lori,Arizona,91197,United States,Bennett-PerezHome Improvement Store,Douglas,Heidi,Ryder,Order
2,2025-12-02 07:43:59,2025-12-10 07:43:59,2025-12-03 07:43:59,498.27,Hubbard-OneillSmart Home Installer,"797 Hendricks Mountain Suite 713
Nathanshire, VA 55477",East Donaldview,Kentucky,49506,United States,Hubbard-OneillSmart Home Installer,Harrison,Tyler,Ryder,Order
3,2025-06-02 15:01:51,2025-06-12 15:01:51,2025-06-04 15:01:51,369.07,"Blankenship, Oneal and PerezTechnology Startup","27319 Malone Cape Suite 494
Jaredfurt, VA 90717",Cookhaven,Idaho,13267,United States,"Blankenship, Oneal and PerezTechnology Startup",Chavez,Kevin,FedEx,Order
4,2024-12-29 08:34:48,2025-01-02 08:34:48,2025-01-01 08:34:48,31.2,"Lee, Estrada and SinghSmall Business","11306 Ruiz Hills Apt. 896
Zoefort, RI 67248",North Lisa,Tennessee,95515,United States,"Lee, Estrada and SinghSmall Business",Lowery,Ryan,XPO Logistics,Order
5,2026-04-03 10:06:20,2026-04-14 10:06:20,2026-04-07 10:06:20,37.16,Smith LLCInterior Design Studio,"06106 Catherine Loaf
New Michaelside, DC 74835",Jordanberg,Oklahoma,69600,United States,Smith LLCInterior Design Studio,Daniel,Yvette,DHL Express,Order
6,2025-12-15 14:33:50,2025-12-28 14:33:50,,66.51,Curry LtdRetail Company,"Unit 0989 Box 6332
DPO AP 07758",West Nicholasport,New Mexico,8420,United States,Curry LtdRetail Company,White,Dustin,LaserShip,Order
7,2025-04-26 15:01:58,2025-05-10 15:01:58,2025-04-30 15:01:58,376.69,Smith LLCSecurity Service Provider,"85622 Kelli Cliffs Apt. 237
East Robert, SC 28980",North Heatherchester,Colorado,92743,United States,Smith LLCSecurity Service Provider,Black,Amanda,LaserShip,Order
8,2025-01-19 17:24:23,2025-01-22 17:24:23,,227.99,"English, Hardy and TrevinoAppliance Retailer","79636 Ruiz Ports Apt. 658
Thompsonchester, ND 71880",New Michele,North Dakota,56528,United States,"English, Hardy and TrevinoAppliance Retailer",Taylor,Robert,Pitney Bowes,Order
9,2026-03-15 20:26:04,2026-03-27 20:26:04,2026-03-19 20:26:04,353.54,"Thompson, Lawrence and AndersonIT Services Company","Unit 8266 Box 6727
DPO AA 75964",Michaelview,Vermont,23205,United States,"Thompson, Lawrence and AndersonIT Services Company",Douglas,Heidi,UPS,Order
10,2025-03-03 17:57:52,2025-03-16 17:57:52,2025-03-06 17:57:52,402.81,Becker LtdConsumer Electronics Store,"93523 Andrew Lake
Port Carlahaven, NM 48551",South Nataliemouth,Connecticut,34897,United States,Becker LtdConsumer Electronics Store,Reynolds,Michael,OnTrac,Order
